true_class,predicted_class,correct,margin,entropy
KIPAN,LIHC,False,0.07232940798062729,2.853380171302386
SARC,GBMLGG,False,0.2188969674261781,2.2667835703303463
SKCM,SKCM,True,0.9397092362115047,0.29153402757875524
KIRC,PRAD,False,0.016972841011917456,2.696139298012509
GBMLGG,UCEC,False,0.0018686205889135166,2.466649322664742
STES,STES,True,0.7183594816981329,0.5900516341860438
BRCA,BRCA,True,0.6248994120939738,1.3634934361757423
THCA,THYM,False,0.01923246622690289,1.9547313986232784
LIHC,SARC,False,0.06403245142158152,2.8972566289608066
STES,COAD,False,0.06423387463091465,2.5963536188911083
STES,PRAD,False,0.10005512679431613,2.800173674762376
HNSC,LUSC,False,0.025727899684588856,2.6793324350431376
KIRC,KIPAN,False,0.09115974460754947,2.701577730025651
PAAD,PAAD,True,0.06763026118278503,2.6308109784572586
SKCM,SKCM,True,0.979100764606961,0.09203738104164885
OV,GBMLGG,False,0.05940340978269058,2.7458446114379473
KIPAN,STES,False,0.0187703370020951,2.6821924180140755
KIPAN,KIRC,False,0.027886119375532703,0.976218131897529
BRCA,THYM,False,0.012623816832428747,1.9750431684985106
PRAD,PRAD,True,0.00752715766780411,2.9341893865136845
GBMLGG,THYM,False,0.20572013230478292,2.0906590351495544
UCEC,OV,False,0.09237454795037225,2.2062087675034836
GBMLGG,GBMLGG,True,0.1980582842228071,1.9985170190149764
LAML,BRCA,False,0.029108434729165883,2.76455070300026
COAD,COAD,True,0.3609159951933339,1.119374423890318
STES,STES,True,0.2476935566667301,2.167554767452454
BRCA,BRCA,True,0.40361457018123725,1.9402191872198136
THCA,THCA,True,0.9618555920946585,0.20459523128784662
BRCA,PCPG,False,0.033708825413118815,2.455189917172124
SKCM,SKCM,True,0.9777674437074262,0.10763597304572833
ACC,ACC,True,0.8978884828151306,0.47592879035655156
GBMLGG,LGG,False,0.035153809009433934,1.0798407349777397
HNSC,HNSC,True,0.3799955213823026,2.0087873401764136
KIRC,KIRC,True,0.01425221498009524,2.7082796453683944
KIRC,KIRC,True,0.4115383990905394,1.071439131362543
PRAD,PCPG,False,0.0703108759207646,2.5456830560230097
LGG,LGG,True,0.2517820423052339,0.9242795800284301
LUSC,STES,False,0.0543586284465597,1.8639729103301013
LUSC,LUSC,True,0.40364967743886354,1.85820629952428
BRCA,OV,False,0.3043710883275627,2.2190662709065183
BRCA,OV,False,0.07508218730701913,2.6093883467352956
UCEC,UCEC,True,0.904605781118554,0.35882400506206635
KIRC,KIRC,True,0.30370787589029563,0.792820276968978
GBMLGG,GBMLGG,True,0.11312937763180464,1.1060588758849295
ACC,LUAD,False,0.04506111325356338,1.7904358763471435
LUAD,LIHC,False,0.16898366993196046,2.3135582414966698
BRCA,BRCA,True,0.5017118880242917,1.8169285688370973
