profile_kind,profile_hash,support,majority_count,label_count,purity,support_bucket
raw,0ff950058d37464d,1,1,1,1.0,1
raw,7269ef5b3e1f3e9d,1,1,1,1.0,1
raw,4c799f8d1bc4e6b3,1,1,1,1.0,1
raw,1b9294736e8fe47a,2,1,2,0.5,2
raw,02a70764bd820515,1,1,1,1.0,1
raw,771addc192ddfd40,1,1,1,1.0,1
raw,56d18fcbe5b60b8b,1,1,1,1.0,1
raw,fb5cf18c736779da,1,1,1,1.0,1
raw,6c3f789367378c17,1,1,1,1.0,1
raw,131ac2597c3fbcc3,1,1,1,1.0,1
raw,739fcb49820addce,1,1,1,1.0,1
raw,2619de50701c7bc9,1,1,1,1.0,1
raw,3d889f66eef0f507,1,1,1,1.0,1
raw,946fcef61f6abe4e,1,1,1,1.0,1
raw,8c194331e0e8b76e,1,1,1,1.0,1
raw,f38d5bc092e29f33,1,1,1,1.0,1
raw,62475fd8525128a7,1,1,1,1.0,1
raw,532909f9f4c7bc39,2,1,2,0.5,2
raw,33833b5838bc8e9b,1,1,1,1.0,1
raw,ee0dd72d95425600,1,1,1,1.0,1
raw,c930093e9e6bccc4,1,1,1,1.0,1
raw,4585d0b33da5a66c,1,1,1,1.0,1
raw,20cb11a99588be76,1,1,1,1.0,1
raw,668922e1cc9aefd1,1,1,1,1.0,1
raw,850cb191c3da7f85,1,1,1,1.0,1
raw,8f788fd16b3b90bf,1,1,1,1.0,1
raw,02c83770d2b03f4c,1,1,1,1.0,1
raw,43f50c1cc5ba74c2,1,1,1,1.0,1
raw,ae7209ec5906fae9,1,1,1,1.0,1
raw,1c0030ac089b1961,1,1,1,1.0,1
raw,a4e3b0aeb1d9b7f3,1,1,1,1.0,1
raw,84d3fa4cc15e7da0,2,1,2,0.5,2
raw,fcf60d03bbc26b2c,1,1,1,1.0,1
raw,cdb3e2f2add8ce4b,2,1,2,0.5,2
raw,e85579dcda003dd5,2,1,2,0.5,2
raw,1cd139becf08d9d6,1,1,1,1.0,1
raw,bd0d2c8e450157e2,2,1,2,0.5,2
raw,7894827f8a23bbcf,1,1,1,1.0,1
raw,f9cebc125279f17b,1,1,1,1.0,1
raw,724f69070d58b2fa,1,1,1,1.0,1
raw,7bea595283ec8da9,1,1,1,1.0,1
raw,165e6b8a20d316dc,1,1,1,1.0,1
raw,2596927412d82789,2,1,2,0.5,2
raw,4b3236a1e82fa05d,2,1,2,0.5,2
raw,737de29b117e71ee,1,1,1,1.0,1
raw,0a9d999dca8ab1a5,1,1,1,1.0,1
raw,7ff18db10276644d,1,1,1,1.0,1
raw,75a09c583cda480d,1,1,1,1.0,1
raw,3c7b0125373418de,1,1,1,1.0,1
raw,2c8db255ae957144,1,1,1,1.0,1
raw,9cac586704467353,1,1,1,1.0,1
raw,3739b3284718f3aa,1,1,1,1.0,1
raw,4f69f7038a901851,2,1,2,0.5,2
raw,6ef355bb7b99ebdc,1,1,1,1.0,1
raw,f09f6db517e57a02,1,1,1,1.0,1
raw,24b52854c497d4cf,1,1,1,1.0,1
raw,74687be9519e19f1,1,1,1,1.0,1
raw,9f76905a85e6c940,1,1,1,1.0,1
raw,a54e0106c909509b,1,1,1,1.0,1
raw,131c66076fa853b5,2,1,2,0.5,2
raw,0f68ba76b0ec0974,1,1,1,1.0,1
raw,34bb260fcbf0bf4b,2,1,2,0.5,2
raw,ba207aa1d533dd88,1,1,1,1.0,1
raw,ea5140a2e669fb7f,1,1,1,1.0,1
raw,687e92b532ae466c,1,1,1,1.0,1
raw,1f8907eda5658dff,1,1,1,1.0,1
raw,e3b0c44298fc1c14,94,30,15,0.3191489361702128,11+
raw,1f25a2eabbfab3c6,1,1,1,1.0,1
raw,1523a469ef5a1154,1,1,1,1.0,1
raw,c4a0478131dbf2b8,2,1,2,0.5,2
raw,0a231779fef5bcd3,1,1,1,1.0,1
raw,472df9f2893277b0,1,1,1,1.0,1
raw,48926b80b37f15e8,1,1,1,1.0,1
raw,6074d9587397803b,1,1,1,1.0,1
raw,2be8c0840e0a47f5,1,1,1,1.0,1
raw,8926303a97ccbe67,1,1,1,1.0,1
raw,b21b4ab2d02fbba4,1,1,1,1.0,1
raw,742a425930b02361,1,1,1,1.0,1
raw,56b2ff904dab43e6,1,1,1,1.0,1
raw,41743102f7ae22b7,1,1,1,1.0,1
raw,cfceba5f05374cb0,1,1,1,1.0,1
raw,7f280c744a324748,1,1,1,1.0,1
raw,491ca9618adea5c6,1,1,1,1.0,1
raw,64487af92587cca7,1,1,1,1.0,1
