row_index,truth,prediction,prob_ACC,prob_BLCA,prob_BRCA,prob_CESC,prob_COAD,prob_DLBC,prob_GBMLGG,prob_HNSC,prob_KIPAN,prob_KIRC,prob_LAML,prob_LGG,prob_LIHC,prob_LUAD,prob_LUSC,prob_OV,prob_PAAD,prob_PCPG,prob_PRAD,prob_SARC,prob_SKCM,prob_STES,prob_TGCT,prob_THCA,prob_THYM,prob_UCEC
0,KIPAN,LIHC,0.012306505333333334,0.007545628333333333,0.044131744333333334,0.024569593666666667,0.03307915633333333,0.008311299466666667,0.03726135666666667,0.013014703833333334,0.15335741333333333,0.091747393,5.283462766666666e-06,0.0038161912666666666,0.1678294446666667,0.03165188066666667,0.08836151166666667,0.057591797666666666,0.046088569333333336,1.8007783e-05,0.012197969000000001,0.019015286333333332,0.010686926,0.05327811466666666,0.07012908466666666,0.0001964622666666667,0.0010561303,0.012752554333333334
1,SARC,GBMLGG,0.019559379666666668,0.006620088166666666,0.031189902333333335,0.003672649366666667,0.005023383766666667,0.006467217,0.49028041333333333,0.043258197,0.019528509666666666,0.010890697999999999,0.00013560002833333334,0.08522032666666668,0.013797971333333334,0.008969008233333334,0.0012787184533333332,0.007515212833333333,0.062057165000000004,0.00089305308,0.0014387510533333335,0.08126269900000001,0.0025855355333333336,0.05504225366666666,0.006257810733333333,0.00031689790666666667,0.0024259500566666662,0.034312578
2,SKCM,SKCM,3.100765566666667e-05,0.00099336179,7.8380052e-06,0.00011377628666666669,0.00051153246,4.496223566666667e-06,2.5268170833333332e-05,0.0007661776966666666,2.3019385e-06,9.185575200000001e-08,4.2410909e-10,2.8691663666666668e-06,4.2592613333333335e-05,0.0008417841866666665,0.002421662766666667,6.054860366666666e-08,1.64883283e-06,1.6925340833333333e-10,9.011764546666667e-08,1.1931031166666666e-05,0.9924243833333333,0.0014964198999999998,8.337549333333334e-09,6.252644768666666e-09,1.1972589772333334e-08,0.0003006475966666667
3,KIRC,KIRC,0.0011353977666666666,0.0024503564333333335,0.060275051333333336,0.025356012,0.008031381766666667,0.0033206242000000004,0.09725843,0.008009253466666666,0.09089496266666668,0.22682112333333335,0.027958506333333338,0.04380270033333333,0.019438640000000004,0.013524885333333334,0.005533428733333332,0.045657963999999995,0.017542303,0.019844337,0.14855174000000002,0.055937679333333344,0.008883259666666667,0.0066351403333333335,0.013987907433333335,0.023413375,0.012672555,0.013063012666666665
4,GBMLGG,STES,0.0010073485666666666,0.0067226125333333326,0.04730841833333333,0.0017467992000000001,0.056080730999999995,0.007579764,0.07255318066666668,0.019361021,0.007612667533333333,0.0033547042000000005,4.660706853333333e-06,0.004670509366666666,0.063921805,0.032274834333333335,0.131192665,0.13954694533333334,0.09696051,1.9521653e-06,0.0013891528233333332,0.029862304666666662,0.009395180666666666,0.18723674666666668,0.007504102566666667,9.935127166666666e-06,0.0007626737166666666,0.07193871466666667
5,STES,STES,1.5756022433333335e-05,0.0015887859166666667,0.0011523951666666666,8.465939833333334e-05,0.006327150033333334,8.212297e-05,0.000236168223,0.0023769618099999997,0.0010671460333333334,1.5114597833333333e-06,2.2297141e-07,8.665711166666667e-07,0.00041374567333333335,0.0008976357833333333,0.00010711556666666667,1.3431506833333333e-07,1.4967616066666665e-06,2.5664867333333337e-07,3.665128532e-06,2.65852105e-05,0.0005248881866666667,0.8691729166666667,1.0027220466666667e-06,7.523149233333333e-08,0.0002578138123333333,0.115658918
6,BRCA,BRCA,9.093639800000001e-05,0.00037040232,0.7639877466666666,0.012497489,0.0022846417333333333,0.00061098091,0.007803922833333333,0.003995118266666667,0.0044320419,0.007293093666666667,0.05657073666666668,0.0069624589,0.0028302589333333334,0.0016164896666666668,0.0002463944933333333,0.005110330333333333,0.0004352684866666667,0.028819189666666665,0.024439977,0.008205381999999999,0.0013244057666666666,0.001777379833333333,0.00040138228,0.015750349166666667,0.0037669974,0.038376632
7,THCA,PCPG,0.0005436520833333333,0.00016668839,0.055742675,0.0063602096666666675,0.00023370267133333332,0.0022060060333333334,0.009187620233333334,0.0008001309633333334,0.004234885466666667,0.0025030370666666666,0.16839136833333335,0.0047068769666666664,0.0007286407266666666,0.0004906226066666667,3.522857366666667e-05,0.0026586088,0.004909424633333334,0.2572212366666667,0.08470381133333334,0.048633552999999996,0.0009228504466666667,0.00021994265,0.003276940166666667,0.09211329366666665,0.2481862066666667,0.0008228241099999999
8,LIHC,SARC,0.004724049766666666,0.004888953966666667,0.08568400999999999,0.02383234966666667,0.008516874666666667,0.017100167333333336,0.027140928999999998,0.011200225,0.060365318,0.071676311,0.003940059566666667,0.005362270033333334,0.04091756633333333,0.013289240333333332,0.005286624533333333,0.07122032666666667,0.046924451666666665,0.029113747333333332,0.14882057466666668,0.17862864999999997,0.009529447333333333,0.018522175999999998,0.04546315533333334,0.03031576766666667,0.01895575166666667,0.018580994
9,STES,STES,0.0007628740033333333,0.0032656425666666663,0.011354749333333332,0.024328010833333334,0.24238893333333333,0.002168175333333333,0.06419322666666666,0.046234550000000006,0.0033940123666666663,0.006358599666666667,8.445254166666668e-06,0.006440287333333333,0.04477274566666667,0.03480273133333334,0.031322106333333335,0.015722229166666667,0.08740707333333332,1.9989080333333333e-05,0.0031955756,0.03374809666666667,0.029939639666666667,0.28038433333333335,0.002663296966666667,0.0006000648433333334,0.0012165908433333333,0.023308053333333332
10,STES,UCEC,0.005808292833333333,0.006627094466666666,0.05324290533333333,0.033715622,0.00938111,0.005139572166666666,0.012405921166666667,0.0070678742,0.03247352866666667,0.049731431,0.022701888666666666,0.015256055999999999,0.06042489266666667,0.009282728333333332,0.0018645925833333332,0.011029000666666669,0.007671868333333334,0.06283742166666666,0.15829709333333333,0.016665311000000002,0.011717069533333332,0.0070154674666666654,0.021829088,0.07588104333333333,0.063363305,0.23856987666666665
11,HNSC,LUSC,0.007681060566666666,0.0095596575,0.07155808566666667,0.112760512,0.049130264666666666,0.0084209174,0.0054682991,0.09161500699999998,0.046697112000000006,0.022937252,1.4037917666666666e-06,0.0008665675166666668,0.053663179,0.10698555166666666,0.14560993666666666,0.017959017,0.01880403933333333,2.7548191666666663e-06,0.0029916151666666666,0.031059343333333333,0.037819442333333335,0.13177519,0.008946948833333334,6.713158933333333e-05,0.00073877092,0.016880952333333334
12,KIRC,KIPAN,0.0032997993666666666,0.029376252333333335,0.13587727666666666,0.058386315,0.0055749322666666665,0.005679374500000001,0.012799220566666665,0.017242247999999998,0.33310755333333336,0.136921055,0.00106858222,0.004185609666666667,0.052489799999999996,0.06361791900000001,0.0011898331333333335,0.017161412,0.008031620666666668,0.006202083266666668,0.01786772,0.012893108666666667,0.0070317253666666675,0.025647430333333332,0.016808488,0.0010284627333333332,0.01951669533333333,0.006995506000000001
13,PAAD,PAAD,0.0015642751333333333,0.0035649658,0.09646124433333332,0.005594036433333334,0.079349997,0.0015380272,0.03593060666666666,0.06167424,0.006099576,0.0052267824,0.0008847883533333333,0.006647237100000001,0.04595183133333333,0.035684312333333336,0.011798788666666666,0.12503289466666667,0.2747738433333334,0.0023748830333333334,0.015557289,0.042975816,0.0081241718,0.090477635,0.008973132333333333,0.003916041766666667,0.005388040733333334,0.024435526333333332
