ID,SUBCLASS,fold,prediction,prob_ACC,prob_BLCA,prob_BRCA,prob_CESC,prob_COAD,prob_DLBC,prob_GBMLGG,prob_HNSC,prob_KIPAN,prob_KIRC,prob_LAML,prob_LGG,prob_LIHC,prob_LUAD,prob_LUSC,prob_OV,prob_PAAD,prob_PCPG,prob_PRAD,prob_SARC,prob_SKCM,prob_STES,prob_TGCT,prob_THCA,prob_THYM,prob_UCEC
TRAIN_0000,KIPAN,3,KIPAN,0.011843083,0.014603391,0.052512202,0.024742328,0.027346717,0.010239695,0.03988307,0.021566298,0.16825652,0.100722335,2.3712116e-06,0.0057732584,0.118270904,0.029244766,0.07108973,0.061556336,0.060217734,9.250539e-06,0.015505828,0.02208222,0.009364315,0.059342794,0.05990376,0.0002315241,0.0015747179,0.014114822
TRAIN_0001,SARC,5,GBMLGG,0.024539327,0.008702004,0.030890487,0.002711933,0.0061025037,0.006734247,0.41833827,0.039590366,0.018513627,0.010248431,0.00017529508,0.05304074,0.018822808,0.012004583,0.0017070953,0.008287616,0.053227633,0.0012442578,0.0010814337,0.15667437,0.0037737445,0.069230616,0.007295681,0.00036977607,0.0046390467,0.04205409
TRAIN_0002,SKCM,2,SKCM,2.3893712e-05,0.00080012117,7.0675756e-06,9.915858e-05,0.00050436385,7.3783153e-06,2.0276862e-05,0.0011394767,1.7874396e-06,6.425489e-08,2.28201e-11,6.648779e-07,4.3779462e-05,0.0007374052,0.0034232463,9.494174e-08,1.0924119e-07,2.416355e-12,5.1357834e-09,3.9562055e-06,0.9909859,0.002121349,1.4137445e-08,8.6039106e-11,2.4489317e-11,7.982233e-05
TRAIN_0003,KIRC,1,KIRC,0.0012531681,0.0016157716,0.041646607,0.018632721,0.006107245,0.0056562647,0.07124438,0.008707186,0.10108391,0.30644882,0.027941456,0.03988466,0.020333737,0.011823599,0.004086149,0.03562485,0.015576658,0.01657757,0.14267991,0.05412265,0.009886225,0.007298027,0.011638098,0.018481327,0.014067331,0.007581678
TRAIN_0004,GBMLGG,1,STES,0.0014835832,0.008263241,0.047100727,0.0013375377,0.039994333,0.008479192,0.06622595,0.030171758,0.0066043753,0.0020439674,2.4952894e-06,0.006438375,0.04825219,0.01680536,0.107015155,0.13397199,0.15483171,2.969842e-07,0.0008486368,0.031154389,0.009329266,0.19419768,0.0097893,2.2817565e-06,0.0017049084,0.07395124
TRAIN_0005,STES,3,STES,3.0099472e-05,0.0014162862,0.0008702669,0.00015146653,0.0050706356,7.789068e-05,0.0006413496,0.00043103873,0.001719109,3.5904256e-06,5.729067e-08,1.0549168e-06,0.00017669413,0.00023704839,9.0700756e-05,8.940046e-08,1.159788e-06,4.1533113e-07,3.0012593e-06,8.9874375e-06,0.00054652593,0.8310004,8.674243e-07,1.2447555e-07,0.00059569546,0.15692547
TRAIN_0006,BRCA,3,BRCA,0.000106083964,0.0005949753,0.7928754,0.012204873,0.0021950088,0.0007913474,0.0071420865,0.0017045129,0.0035660814,0.0056095407,0.05876436,0.004783685,0.0028817866,0.0013403631,0.00014976134,0.005741312,0.0004368082,0.023003837,0.020758925,0.0078703435,0.0009510869,0.0015873206,0.00037875204,0.011015618,0.0045640264,0.028982136
TRAIN_0007,THCA,4,PCPG,0.0007389726,0.0001313272,0.09175541,0.0062185437,0.00016056221,0.0005183253,0.008297643,0.0007647745,0.005039986,0.0017290014,0.116550885,0.005742182,0.00079435646,0.00055556284,5.114873e-05,0.0033893154,0.0051986314,0.24651775,0.10377747,0.054742023,0.00091182184,0.00012302198,0.0019642597,0.10482946,0.23858367,0.00091392256
TRAIN_0008,LIHC,5,SARC,0.004675691,0.0040951422,0.0698371,0.022594018,0.00882379,0.015232327,0.02606465,0.009289551,0.066407524,0.10701551,0.003561453,0.0047676335,0.045243602,0.01587791,0.006865116,0.09126834,0.0344248,0.036885925,0.1406755,0.15737547,0.00847873,0.017902954,0.03105449,0.034516882,0.02074004,0.016325885
TRAIN_0009,STES,5,STES,0.00044987063,0.0007648031,0.015351251,0.030267023,0.22410007,0.0019285476,0.047116555,0.055831026,0.0029556481,0.002784831,8.5753045e-06,0.006162368,0.043384153,0.045815144,0.0343962,0.0110254,0.07109822,1.691558e-05,0.0031696868,0.02626159,0.036618773,0.30583984,0.0023266836,0.00093317265,0.0009964705,0.030397203
